Judul Artikel,Penulis,Tahun Publikasi
"DETERMINANTS OF TETANUS TOXOID (TT) COVERAGE IN PREMARITAL: SYSTEMATIC 
REVIEW","DETERMINANTS OF TETANUS TOXOID (TT) COVERAGE IN PREMARITAL: SYSTEMATIC 
REVIEW",20212022
EFEKTIFITAS PEMANFAATAN PASIR PANTAI BERSILIKA DAN SILANE SEBAGAI PENGISI BAHAN ISOLASI RESIN EPOKSI DENGAN KOPLING AGEN VINYL SILANE DAN KOMPATIBILISER POLYETHYLENE UNTUK ISOLATOR LISTRIK,EFEKTIFITAS PEMANFAATAN PASIR PANTAI BERSILIKA DAN SILANE SEBAGAI PENGISI BAHAN ISOLASI RESIN EPOKSI DENGAN KOPLING AGEN VINYL SILANE DAN KOMPATIBILISER POLYETHYLENE UNTUK ISOLATOR LISTRIK,20212022
GAMBARAN INTENSI KEPATUHAN TERHADAP PROTOKOL PENCEGAHAN COVID19 MENUJU PERKULIAHAN TATAP MUKA PADA MAHASISWA UNIVERSITAS MUHAMMADIYAH SEMARANG  AJARAN 2021,GAMBARAN INTENSI KEPATUHAN TERHADAP PROTOKOL PENCEGAHAN COVID19 MENUJU PERKULIAHAN TATAP MUKA PADA MAHASISWA UNIVERSITAS MUHAMMADIYAH SEMARANG  AJARAN 2021,20212022
PELACAKAN BIOMARKER HPLASMODIUM PADA POPULASI KAMBING ETAWA DI DAERAH ENDEMIK MALARIA,PELACAKAN BIOMARKER HPLASMODIUM PADA POPULASI KAMBING ETAWA DI DAERAH ENDEMIK MALARIA,20202021
PENGARUH PELATIHAN BTCLS TERHADAP PENGETAHUAN KEGAWATDARURATAN MAHASISWA CALON LULUSAN PRODI DIPLOMA III KEPERAWATAN SEKOLAH TINGGI ILMU KESEHATAN MAYAPADA,PENGARUH PELATIHAN BTCLS TERHADAP PENGETAHUAN KEGAWATDARURATAN MAHASISWA CALON LULUSAN PRODI DIPLOMA III KEPERAWATAN SEKOLAH TINGGI ILMU KESEHATAN MAYAPADA,20232
PEKAN IMUNISASI NASIONAL (PIN) POLIO JAKARTA SELATAN WILAYAH CILANDAK BARAT,PEKAN IMUNISASI NASIONAL (PIN) POLIO JAKARTA SELATAN WILAYAH CILANDAK BARAT,20232
PEKAN IMUNISASI NASIONAL (PIN) POLIO JAKARTA SELATAN WILAYAH PONDOK LABU,PEKAN IMUNISASI NASIONAL (PIN) POLIO JAKARTA SELATAN WILAYAH PONDOK LABU,20232
PEKAN IMUNISASI NASIONAL (PIN) POLIO JAKARTA SELATAN WILAYAH LEBAK BULUS,PEKAN IMUNISASI NASIONAL (PIN) POLIO JAKARTA SELATAN WILAYAH LEBAK BULUS,20232
PEKAN IMUNISASI NASIONAL (PIN) POLIO JAKARTA SELATAN WILAYAH CIPETE SELATAN,PEKAN IMUNISASI NASIONAL (PIN) POLIO JAKARTA SELATAN WILAYAH CIPETE SELATAN,20232
PENDAMPINGAN PENYUSUNAN ARTIKEL ILMIAH BAGI MAHASISWA DI STIKES MAYAPADA,PENDAMPINGAN PENYUSUNAN ARTIKEL ILMIAH BAGI MAHASISWA DI STIKES MAYAPADA,20232
PENGARUH SUPERVISI KEPALA RUANGAN TERHADAP KINERJA PERAWAT PELAKSANA DI RUMAH SAKIT X JAKARTA SELATAN,PENGARUH SUPERVISI KEPALA RUANGAN TERHADAP KINERJA PERAWAT PELAKSANA DI RUMAH SAKIT X JAKARTA SELATAN,20231
THE EFFECT OF ADDITION RED BEAN FLOUR (PHASEOULUS VULGARIS) AND YELLOW PUMPKIN FLOUR (CURCUBITA MOSCHATA) ON COOKIES PRODUCTION,THE EFFECT OF ADDITION RED BEAN FLOUR (PHASEOULUS VULGARIS) AND YELLOW PUMPKIN FLOUR (CURCUBITA MOSCHATA) ON COOKIES PRODUCTION,20231
ADAPTASI DIGITAL MARKETING UMKM KOPI PRODUK MENUJU TRANSFORMASI DIGITAL DI ERA PANDEMI COVID-19,ADAPTASI DIGITAL MARKETING UMKM KOPI PRODUK MENUJU TRANSFORMASI DIGITAL DI ERA PANDEMI COVID-19,20231
EVALUASI PEMBUMIAN INSTALASI LISTRIK PADA FAKULTAS TEKNIK UNM BERDASARKAN STANDAR PUIL 2011,EVALUASI PEMBUMIAN INSTALASI LISTRIK PADA FAKULTAS TEKNIK UNM BERDASARKAN STANDAR PUIL 2011,20231
PENGEMBANGAN E-LEARNING BERBASIS MODLE PADA PEMBELAJARAN INSTALASI LISTRIK KOMERSIAL UNTUK PENDIDIKAN VOKASI,PENGEMBANGAN E-LEARNING BERBASIS MODLE PADA PEMBELAJARAN INSTALASI LISTRIK KOMERSIAL UNTUK PENDIDIKAN VOKASI,20231
PELATIHAN PEMBUATAN WEBSITE TANPA CODING DENGAN MEMANFAATKAN CONTENT MANAJEMEN SYSTEM WORDPRESS,PELATIHAN PEMBUATAN WEBSITE TANPA CODING DENGAN MEMANFAATKAN CONTENT MANAJEMEN SYSTEM WORDPRESS,20231
